2016-03-16 22:42:15 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:42:15 INFO  indexUtils:29 - Found index. Index exists
2016-03-16 22:42:15 INFO  indexUtils:49 - Deleting the index status
2016-03-16 22:42:15 INFO  indexUtils:56 - Deleted index status
2016-03-16 22:42:15 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:42:15 INFO  indexUtils:32 - Cloud not find index
2016-03-16 22:42:15 INFO  indexUtils:37 - Creating an index with name status
2016-03-16 22:42:15 INFO  indexUtils:44 - Created index status
2016-03-16 22:42:15 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:42:15 INFO  indexUtils:29 - Found index. Index exists
